County,State,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,Total_Cases
Prince of Wales-Hyder Census Area,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,4.23255620446024,3.12162306547093,2.36416199331914,1.99955210324317,1.19458728470175,1.19423195551434,1.28473712786948,2
Radford City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,2.27348639084395,2.62988927013602,2.98107568696738,3.31359386018675,3.61675789910438,3.88378111065939,4.11191486792755,4.30180453973752,4.45645920559773,4.58019992924207,4.67780690780111,4.75393866789452,4.81280098379875,4.85800295850939,1
Richmond City,NaN,5,5,5,5,5,5,5,5,5,5,20,6.77378760015775,4.84250282632051,3.52340305962329,2.40099307769567,2.41174164608423,2.605579175105,1.86778528006212,1.69515947313852,1.62809442518247,1.68274305694535,2.0018017526902,1.54005632469377,1.20350751650282,1.4994917553294,2.60823405480074,3.2258408019508,2.93842915631338,2.04820027948069,1.75346238235078,1.57595969439159,1.42661718035101,1.1191756227681,0.911423607983036,0.759561431759221,0.839445905134799,0.992204865329596,1.05863113826795,0.941000520461431,1.00946124747386,1.01803297036441,1.0328816525229,1.25499289999496,1.08975454588332,236
Salem City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,6.82045917253185,4.68321779970052,3.89053896426876,4.13924209755005,2.79731931234738,2.06599495181764,1.7267500459525,6
Southeast Fairbanks,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,2.27348639084395,2.62988927013602,2.98107568696738,3.31359386018675,3.61675789910438,3.88378111065939,1
Staunton City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,2.6137154740909,2.64935347415288,2.31075407779101,3.1624066034391,3.50482849761605,3.25824493491934,2.40542290791538,2.68627025352278,8
Winchester City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,12.1149517836282,4.95857142832992,4.28119659774461,2.84523067840908,3.47580971529299,2.76728098656467,2.03563567486592,1.66775258438933,1.60182558551569,1.32613867775968,1.35034673950054,0.856239059718687,1.0771261486312,0.99707608469905,0.89491792008214,0.811552122719926,0.859843042414558,0.783429630244304,0.976840638733725,1.02827097382008,1.05159491273867,0.916997769230926,25
Yukon-Koyukuk,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,2.27348639084395,2.62988927013602,2.98107568696738,3.31359386018675,3.61675789910438,3.88378111065939,4.11191486792755,1
Adams,Nebraska,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,1.91690155318915,2.77192239525191,2.41602762347948,2.02721185363993,2.41133091948375,3.11931816643611,2.39896533505264,2.20693371887437,2.3646621741412,2.78890069703865,2.80460687086857,2.96014703440295,2.17588039899148,2.41914800361685,2.15552744422896,1.72574299502968,1.5896278796323,1.34400223813115,1.10982525734978,1.10186611124639,1.11506918603756,1.00551444166103,0.999526229447243,0.798502541147382,81
Antelope,Nebraska,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,2.27348639084395,2.62988927013602,2.98107568696738,3.31359386018675,3.61675789910438,3.88378111065939,4.11191486792755,4.30180453973752,4.45645920559773,1
